"provider","model","variant","input","output","cached_input"
"AWS/Bedrock","ai21.j2-mid-v1","",12.5,12.5,NA
"AWS/Bedrock","ai21.j2-ultra-v1","",18.8,18.8,NA
"AWS/Bedrock","ai21.jamba-1-5-large-v1:0","",2,8,NA
"AWS/Bedrock","ai21.jamba-1-5-mini-v1:0","",0.2,0.4,NA
"AWS/Bedrock","ai21.jamba-instruct-v1:0","",0.5,0.7,NA
"AWS/Bedrock","amazon.nova-2-multimodal-embeddings-v1:0","",0.135,0,NA
"AWS/Bedrock","amazon.titan-embed-image-v1","",0.8,0,NA
"AWS/Bedrock","amazon.titan-embed-text-v1","",0.1,0,NA
"AWS/Bedrock","amazon.titan-embed-text-v2:0","",0.2,0,NA
"AWS/Bedrock","amazon.titan-text-express-v1","",1.3,1.7,NA
"AWS/Bedrock","amazon.titan-text-lite-v1","",0.3,0.4,NA
"AWS/Bedrock","amazon.titan-text-premier-v1:0","",0.5,1.5,NA
"AWS/Bedrock","anthropic.claude-3-5-haiku-20241022-v1:0","",0.8,4,0.08
"AWS/Bedrock","anthropic.claude-3-5-sonnet-20240620-v1:0","",3,15,0.3
"AWS/Bedrock","anthropic.claude-3-5-sonnet-20240620-v1:0","above_200k_tokens",6,30,0.6
"AWS/Bedrock","anthropic.claude-3-5-sonnet-20241022-v2:0","",3,15,0.3
"AWS/Bedrock","anthropic.claude-3-5-sonnet-20241022-v2:0","above_200k_tokens",6,30,0.6
"AWS/Bedrock","anthropic.claude-3-7-sonnet-20240620-v1:0","",3.6,18,0.36
"AWS/Bedrock","anthropic.claude-3-haiku-20240307-v1:0","",0.25,1.25,0.025
"AWS/Bedrock","anthropic.claude-3-opus-20240229-v1:0","",15,75,1.5
"AWS/Bedrock","anthropic.claude-3-sonnet-20240229-v1:0","",3,15,0.3
"AWS/Bedrock","anthropic.claude-instant-v1","",0.8,2.4,NA
"AWS/Bedrock","anthropic.claude-v1","",8,24,NA
"AWS/Bedrock","anthropic.claude-v2:1","",8,24,NA
"AWS/Bedrock","ap-northeast-1/anthropic.claude-instant-v1","",2.23,7.55,NA
"AWS/Bedrock","ap-northeast-1/anthropic.claude-v1","",8,24,NA
"AWS/Bedrock","ap-northeast-1/anthropic.claude-v2:1","",8,24,NA
"AWS/Bedrock","ap-northeast-1/deepseek.v3.2","",0.74,2.22,NA
"AWS/Bedrock","ap-northeast-1/minimax.minimax-m2.1","",0.36,1.44,NA
"AWS/Bedrock","ap-northeast-1/minimax.minimax-m2.5","",0.36,1.44,NA
"AWS/Bedrock","ap-northeast-1/moonshotai.kimi-k2-thinking","",0.73,3.03,NA
